DG No.,Node_id,P_max,P_min,Q_max,Q_min,Rup,Rdn,MUT,MDT,Cost,SUC,SDC
1,7,600,100,400,0,105,120,2,2,0.04,20,20
2,4,950,200,600,0,175,200,3,3,0.035,30,20
